image,produto,preco,cents,loja,reviews rating number,reviews amount
https://http2.mlstatic.com/D_NQ_NP_845262-MLU73568518411_122023-W.webp,Arandela Box Com Abas Efeito Luminária Externa Cor Preto,57,90,por DAZ Iluminacao,4.4,(67)
https://http2.mlstatic.com/D_NQ_NP_746273-MLU76222177929_052024-W.webp,1x Arandela Duplo Facho Longo Externa Dicroica Alumínio Luminária Parede MF164 Cor Branco 110V/220V,40,59,por Forteled,4.6,(15)
https://http2.mlstatic.com/D_NQ_NP_931565-MLU74221095202_012024-W.webp,Arandela De Parede Externa 6w Luminária Efeito Cor Branco,42,99,por DAZ Iluminacao,4.5,(35)
https://http2.mlstatic.com/D_NQ_NP_717259-MLU74098845889_012024-W.webp,Arandela Externa 2 Focos E Frisos Parede Muro + Led Incluso Cor Preto Led Quente,44,99,por DAZ Iluminacao,4.8,(203)
https://http2.mlstatic.com/D_NQ_NP_776350-MLU76130314717_052024-W.webp,Kit 4 Arandelas 2 Foco E 2 Friso Externa Parede Muro Ar1510,109,90,por Ideallume,,
https://http2.mlstatic.com/D_NQ_NP_941396-MLU75468292268_042024-W.webp,Arandela Alumínio 2 Focos Externa Interna + Lâmpada 5w 3000k quente Inclusa 6205,38,6,,4.6,(177)
https://http2.mlstatic.com/D_NQ_NP_711763-MLU75260265061_032024-W.webp,Arandela 5 Vidros Uso Externo Garagem Soquete E27 Mf109 Cor Marrom,76,26,por WS Distribuidora,4.6,(77)
https://http2.mlstatic.com/D_NQ_NP_832575-MLU73412736228_122023-W.webp,Poste De Barbeiro Lojinha Do Barbeiro 65 Cm 110/220w Cor Tradicional 220W,339,90,,5.0,(16)
https://http2.mlstatic.com/D_NQ_NP_950500-MLB29906910514_042019-W.webp,Arandela Slim Interna Externa Alumínio 2 Friso Moderna,22,90,,4.6,(3152)
https://http2.mlstatic.com/D_NQ_NP_755029-MLU73459532082_122023-W.webp,Arandela De Aluminio E27 Bivolt Preto Rioprelustres 6213,42,81,,4.6,(141)
https://http2.mlstatic.com/D_NQ_NP_755933-MLU72714589141_112023-W.webp,Arandela Parede Muro Externa Interna Slim Alumínio Moderna Para Lâmpada G9 Preto Mf123,31,77,por Forteled,4.6,(13)
